image_id,identity,condition,valid,embedding_drift_cosine,embedding_drift_euclidean,error_reason
Ann_Veneman/Ann_Veneman_0008,Ann_Veneman,noise_n08_steps2,1,0.1174940467,10.2355670929,
Ann_Veneman/Ann_Veneman_0009,Ann_Veneman,noise_n08_steps2,1,0.1136572361,10.5152034760,
Ann_Veneman/Ann_Veneman_0010,Ann_Veneman,noise_n08_steps2,1,0.1266054511,10.6392860413,
Ann_Veneman/Ann_Veneman_0011,Ann_Veneman,noise_n08_steps2,1,0.0748034716,9.0719938278,
Anna_Kournikova/Anna_Kournikova_0001,Anna_Kournikova,noise_n08_steps2,1,0.1294978261,10.8048171997,
Anna_Kournikova/Anna_Kournikova_0002,Anna_Kournikova,noise_n08_steps2,1,0.1704380512,13.0625667572,
Anna_Kournikova/Anna_Kournikova_0003,Anna_Kournikova,noise_n08_steps2,1,0.3196755648,18.8901958466,
Anna_Kournikova/Anna_Kournikova_0004,Anna_Kournikova,noise_n08_steps2,1,0.1902509928,13.8304538727,
Anna_Kournikova/Anna_Kournikova_0005,Anna_Kournikova,noise_n08_steps2,1,0.2460110188,16.0470867157,
Anna_Kournikova/Anna_Kournikova_0006,Anna_Kournikova,noise_n08_steps2,1,0.1533756256,11.5968570709,
Anna_Kournikova/Anna_Kournikova_0007,Anna_Kournikova,noise_n08_steps2,1,0.2750833035,14.8745994568,
Anna_Kournikova/Anna_Kournikova_0008,Anna_Kournikova,noise_n08_steps2,1,0.1848318577,12.9662895203,
Anna_Kournikova/Anna_Kournikova_0009,Anna_Kournikova,noise_n08_steps2,1,0.1916991472,14.6225023270,
Anna_Kournikova/Anna_Kournikova_0010,Anna_Kournikova,noise_n08_steps2,1,0.2076118588,12.8005514145,
Anna_Kournikova/Anna_Kournikova_0011,Anna_Kournikova,noise_n08_steps2,1,0.1060718298,10.2606420517,
Anna_Kournikova/Anna_Kournikova_0012,Anna_Kournikova,noise_n08_steps2,1,0.1412914991,10.9991188049,
Ari_Fleischer/Ari_Fleischer_0001,Ari_Fleischer,noise_n08_steps2,1,0.0886130929,8.9129095078,
Ari_Fleischer/Ari_Fleischer_0002,Ari_Fleischer,noise_n08_steps2,1,0.0962352753,9.6861763000,
Ari_Fleischer/Ari_Fleischer_0003,Ari_Fleischer,noise_n08_steps2,1,0.1380561590,10.0832767487,
Ari_Fleischer/Ari_Fleischer_0004,Ari_Fleischer,noise_n08_steps2,1,0.1459774971,11.3526077271,
Ari_Fleischer/Ari_Fleischer_0005,Ari_Fleischer,noise_n08_steps2,1,0.1733117104,12.3712635040,
Ari_Fleischer/Ari_Fleischer_0006,Ari_Fleischer,noise_n08_steps2,1,0.1045938730,9.5918283463,
Ari_Fleischer/Ari_Fleischer_0007,Ari_Fleischer,noise_n08_steps2,1,0.1342371702,10.4539995193,
Ari_Fleischer/Ari_Fleischer_0008,Ari_Fleischer,noise_n08_steps2,1,0.1543405056,12.8787622452,
